genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.12G080500.v2.1	4.50887470552264	4.62026055159054	3.92681369985491	4.77436524192147	4.50567792908184	4.11935631323593	4.03689028348947	4.86854471046386	4.30941798092936
GmISU01.12G080600.v2.1	1.70100136620478	0.562771745184491	1.51108951230996	1.79436785569481	2.44877368660308	0.562771745184491	2.57489922328341	2.13641627239693	1.58798380713049
GmISU01.12G080900.v2.1	3.79662187458695	3.87646909737378	4.37164057405033	3.9465265006986	3.5965625090272	3.23703637648904	4.1625429305583	3.71758629786	4.30941798092936
GmISU01.12G081300.v2.1	3.59956431514037	2.25688429486715	3.47107536988988	0.562771745184491	2.44877368660308	4.2456699325774	2.15851924980558	0.562771745184489	3.60660785791751
GmISU01.12G081400.v2.1	0.562771745184491	2.80348184177439	0.562771745184489	0.562771745184491	0.562771745184491	2.21961270304365	1.57086804721782	0.562771745184489	0.562771745184489
GmISU01.12G081500.v2.1	4.12470485848473	4.412237339668	4.92187456132828	2.89756862739078	3.23908215540387	4.11935631323593	4.38512667610962	4.71663661926971	4.77995552865782
GmISU01.12G082000.v2.1	0.562771745184491	0.562771745184491	0.562771745184489	1.79436785569481	0.562771745184491	2.64338834246888	0.562771745184489	1.55429159996985	0.562771745184489
GmISU01.12G082400.v2.1	1.70100136620478	1.366213121777	1.51108951230996	0.562771745184491	0.562771745184491	0.562771745184491	0.562771745184489	2.5500327614921	0.562771745184489
GmISU01.12G082900.v2.1	3.59956431514037	3.19894737174636	4.63346699270404	3.74698833912404	3.23908215540387	3.65639711205318	3.89924062819051	3.54789861841894	4.60968862545404
GmISU01.12G083100.v2.1	3.79662187458695	2.55591605799835	3.0605390878773	1.79436785569481	3.23908215540387	3.82776031811363	1.57086804721782	1.55429159996985	3.41308135098423
GmISU01.12G084600.v2.1	3.09992616690293	4.55419703373154	4.71115144516025	1.79436785569481	3.02049527917325	3.65639711205318	2.15851924980558	3.86939950559177	3.41308135098423
